id,lemma,pronunciation,transliteration,definition,derivation,strongsNumber,englishWord
4222,מָחָא,maw-khaw',mâchâʼ,to rub or strike the hands together (in exultation),a primitive root;,H4222,clap.
4223,מְחָא,mekh-aw',mᵉchâʼ,to strike in pieces; also to arrest; specifically to impale,(Aramaic) corresponding to H4222 (מָחָא);,H4223,"hang, smite, stay."
4224,מַחֲבֵא,makh-ab-ay',machăbêʼ,a refuge,or מַחֲבֹא; from H2244 (חָבָא);,H4224,hiding (lurking) place.
4225,מַחְבֶּרֶת,makh-beh'-reth,machbereth,"a junction, i.e. seam or sewed piece",from H2266 (חָבַר);,H4225,coupling.
4226,מְחַבְּרָה,mekh-ab-ber-aw',mᵉchabbᵉrâh,"a joiner, i.e. brace or cramp",from H2266 (חָבַר);,H4226,"coupling, joining."
4227,מַחֲבַת,makh-ab-ath',machăbath,a pan for baking in,from the same as H2281 (חָבֵת);,H4227,pan.
4228,מַחֲגֹרֶת,makh-ag-o'-reth,machăgôreth,a girdle,from H2296 (חָגַר);,H4228,girding.
4229,מָחָה,maw-khaw',mâchâh,"properly, to stroke or rub; by implication, to erase; also to smooth (as if with oil), i.e. grease or make fat; also to touch, i.e. reach to",a primitive root;,H4229,"abolish, blot out, destroy, full of marrow, put out, reach unto, [idiom] utterly, wipe (away, out)."
4230,מְחוּגָה,mekk-oo-gaw',mᵉchûwgâh,"an instrument for marking a circle, i.e. compasses",from H2328 (חוּג);,H4230,compass.
4231,מָחוֹז,maw-khoze',mâchôwz,a harbor (as shut in by the shore),from an unused root meaning to enclose;,H4231,haven.
4232,מְחוּיָאֵל,mekh-oo-yaw-ale',Mᵉchûwyâʼêl,"Mechujael or Mechijael, an antediluvian patriarch",or מְחִיּיָאֵל; from H4229 (מָחָה) and H410 (אֵל); smitten of God;,H4232,Mehujael.
4233,מַחֲוִים,makh-av-eem',Machăvîym,a Machavite or inhabitant of some place named Machaveh,"apparently a patrial, but from an unknown place (in the plural only for a singular);",H4233,Mahavite.
4234,מָחוֹל,maw-khole',mâchôwl,a (round) dance,from H2342 (חוּל);,H4234,dance(-cing).
4235,מָחוֹל,maw-khole',Mâchôwl,"Machol, an Israelite",the same as H4234 (מָחוֹל); dancing;,H4235,Mahol.
4236,מַחֲזֶה,makh-az-eh',machăzeh,a vision,from H2372 (חָזָה);,H4236,vision.
4237,מֶחֱזָה,mekh-ez-aw',mechĕzâh,a window,from H2372 (חָזָה);,H4237,light.
4238,מַחֲזִיאוֹת,makh-az-ee-oth',Machăzîyʼôwth,"Machazioth, an Israelite",feminine plural from H2372 (חָזָה); visions;,H4238,Mahazioth.
4239,מְחִי,mekh-ee',mᵉchîy,"a stroke, i.e. battering-ram",from H4229 (מָחָה);,H4239,engines.
4240,מְחִידָא,mek-ee-daw',Mᵉchîydâʼ,"Mechida, one of the Nethinim",from H2330 (חוּד); junction;,H4240,Mehida.
4241,מִחְיָה,mikh-yaw',michyâh,"preservation of life; hence, sustenance; also the live flesh, i.e. the quick",from H2421 (חָיָה);,H4241,"preserve life, quick, recover selves, reviving, sustenance, victuals."
4242,מְחִיר,mekk-eer',mᵉchîyr,"price, payment, wages",from an unused root meaning to buy;,H4242,"gain, hire, price, sold, worth."
4243,מְחִיר,mekh-eer',Mᵉchîyr,"Mechir, an Israelite",the same as H4242 (מְחִיר); price;,H4243,Mehir.
4244,מַחְלָה,makh-law',Machlâh,"Machlah, the name apparently of two Israelitesses",from H2470 (חָלָה); sickness;,H4244,Mahlah.
4245,מַחֲלֶה,makh-al-eh',machăleh,sickness,or (feminine) מַחֲלָה; from H2470 (חָלָה);,H4245,"disease, infirmity, sickness."
4246,מְחֹלָה,mek-o-law',mᵉchôlâh,a dance,feminine of H4234 (מָחוֹל);,H4246,"company, dances(-cing)."
4247,מְחִלָּה,mekh-il-law',mᵉchillâh,a cavern (as if excavated),from H2490 (חָלַל);,H4247,cave.
4248,מַחְלוֹן,makh-lone',Machlôwn,"Machlon, an Israelite",from H2470 (חָלָה); sick;,H4248,Mahlon.
4249,מַחְלִי,makh-lee',Machlîy,"Machli, the name of two Israelites",from H2470 (חָלָה); sick;,H4249,Mahli.
4250,מַחְלִי,makh-lee',Machlîy,a Machlite or (collectively) descendants of Machli,patronymical from H4249 (מַחְלִי);,H4250,Mahlites.
4251,מַחְלֻי,makh-loo'-ee,machluy,a disease,from H2470 (חָלָה);,H4251,disease.
4252,מַחֲלָף,makh-al-awf',machălâph,a (sacrificial) knife (as gliding through the flesh),from H2498 (חָלַף);,H4252,knife.
4253,מַחְלָפָה,makh-law-faw',machlâphâh,a ringlet of hair (as gliding over each other),from H2498 (חָלַף);,H4253,lock.
4254,מַחֲלָצָה,makh-al-aw-tsaw',machălâtsâh,a mantle (as easily drawn off),from H2502 (חָלַץ);,H4254,"changeable suit of apparel, change of raiment."
4255,מַחְלְקָה,makh-lek-aw',machlᵉqâh,a section (of the Levites),(Aramaic) corresponding to H4256 (מַחֲלֹקֶת);,H4255,course.
4256,מַחֲלֹקֶת,makh-al-o'-keth,machălôqeth,"a section (of Levites, people or soldiers)",from H2505 (חָלַק);,H4256,"company, course, division, portion. See also H5555 (סֶלַע הַמַּחְלְקוֹת)."
4257,מַחֲלַת,makh-al-ath',machălath,"'Machalath', probably the title (initial word) of a popular song",from H2470 (חָלָה); sickness;,H4257,Mahalath.
4258,מַחֲלַת,makh-al-ath',Machălath,"Machalath, the name of an Ishmaelitess and of an Israelitess",the same as H4257 (מַחֲלַת); sickness;,H4258,Mahalath.
4259,מְחֹלָתִי,mekh-o-law-thee',Mᵉchôlâthîy,a Mecholathite or inhabitant of Abel-Mecholah,patrial from H65 (אָבֵל מְחוֹלָה);,H4259,Mecholathite.
4260,מַחֲמָאָה,makh-am-aw-aw',machămâʼâh,"something buttery (i.e. unctuous and pleasant), as (figuratively) flattery",a denominative from H2529 (חֶמְאָה);,H4260,[idiom] than butter.
4261,מַחְמָד,makh-mawd',machmâd,"delightful; hence, a delight, i.e. object of affection or desire",from H2530 (חָמַד);,H4261,"beloved, desire, goodly, lovely, pleasant (thing)."
4262,מַחְמֻד,makh-mood',machmud,"desired; hence, a valuable",or מַחְמוּד; from H2530 (חָמַד);,H4262,pleasant thing.
4263,מַחְמָל,makh-mawl',machmâl,"properly, sympathy;",from H2550 (חָמַל); (by paronomasia with H4261 (מַחְמָד)) delight,H4263,pitieth.
4264,מַחֲנֶה,makh-an-eh',machăneh,"an encampment (of travellers or troops); hence, an army, whether literal (of soldiers) or figurative (of dancers, angels, cattle, locusts, stars; or even the sacred courts)",from H2583 (חָנָה);,H4264,"army, band, battle, camp, company, drove, host, tents."
4265,מַחֲנֵה־דָן,makh-an-ay'-dawn,Machănêh-Dân,"Machaneh-Dan, a place in Palestine",from H4264 (מַחֲנֶה) and H1835 (דָּן); camp of Dan;,H4265,Mahaneh-dan.
4266,מַחֲנַיִם,makh-an-ah'-yim,Machănayim,"Machanajim, a place in Palestine",dual of H4264 (מַחֲנֶה); double camp;,H4266,Mahanaim.
4267,מַחֲנַק,makh-an-ak',machănaq,choking,from H2614 (חָנַק);,H4267,strangling.
4268,מַחֲסֶה,makh-as-eh',machăçeh,a shelter (literally or figuratively),or מַחְסֶה; from H2620 (חָסָה);,H4268,"hope, (place of) refuge, shelter, trust."
4269,מַחְסוֹם,makh-sohm',machçôwm,a muzzle,from H2629 (חָסַם);,H4269,bridle.
4270,מַחְסוֹר,makh-sore',machçôwr,"deficiency; hence, impoverishment",or מַחְסֹר; from H2637 (חָסֵר);,H4270,"lack, need, penury, poor, poverty, want."
4271,מַחְסֵיָה,makh-say-yaw',Machçêyâh,"Machsejah, an Israelite",from H4268 (מַחֲסֶה) and H3050 (יָהּ); refuge of (i.e. in) Jah;,H4271,Maaseiah.
4272,מָחַץ,maw-khats',mâchats,"to dash asunder; by implication, to crush, smash or violently plunge; figuratively, to subdue or destroy",a primitive root;,H4272,"dip, pierce (through), smite (through), strike through, wound."
4273,מַחַץ,makh'-ats,machats,a contusion,from H4272 (מָחַץ);,H4273,stroke.
4274,מַחְצֵב,makh-tsabe',machtsêb,"properly, a hewing; concretely, a quarry",from H2672 (חָצַב);,H4274,hewed(-n).
4275,מֶחֱצָה,mekh-ets-aw',mechĕtsâh,a halving,"from H2673 (חָצָה)lemma חָעָה ayin, corrected to חָצָה;",H4275,half.
4276,מַחֲצִית,makh-ats-eeth',machătsîyth,a halving or the middle,"from H2673 (חָצָה)lemma חָעָה ayin, corrected to חָצָה;",H4276,"half (so much), mid(-day)."
4277,מָחַק,maw-khak',mâchaq,to crush,a primitive root;,H4277,smite off.
4278,מֶחְקָר,mekh-kawr',mechqâr,"properly, scrutinized, i.e. (by implication) a recess",from H2713 (חָקַר);,H4278,deep place.
4279,מָחָר,maw-khar',mâchâr,"properly, deferred, i.e. the morrow; usually (adverbially) tomorrow; indefinitely, hereafter",probably from H309 (אָחַר);,H4279,"time to come, tomorrow."
4280,מַחֲרָאָה,makh-ar-aw-aw',machărâʼâh,a sink,from the same as H2716 (חֶרֶא);,H4280,draught house.
4281,מַחֲרֵשָׁה,makh-ar-ay-shaw',machărêshâh,probably a pick-axe,from H2790 (חָרַשׁ);,H4281,mattock.
4282,מַחֲרֶשֶׁת,makh-ar-eh'-sheth,machăresheth,probably a hoe,from H2790 (חָרַשׁ);,H4282,share.
4283,מׇחֳרָת,mokh-or-awth',mochŏrâth,the morrow or (adverbially) tomorrow,"or מׇחֳרָתָם; (1 Samuel 30:17), feminine from the same as H4279 (מָחָר);",H4283,"morrow, next day."
4284,מַחֲשָׁבָה,makh-ash-aw-baw',machăshâbâh,"a contrivance, i.e. (concretely) a texture, machine, or (abstractly) intention, plan (whether bad, a plot; or good, advice)",or מַחֲשֶׁבֶת; from H2803 (חָשַׁב);,H4284,"cunning (work), curious work, device(-sed), imagination, invented, means, purpose, thought."
4285,מַחְשָׁךְ,makh-shawk',machshâk,"darkness; concretely, a dark place",from H2821 (חָשַׁךְ);,H4285,"dark(-ness, place)."
4286,מַחְשֹׂף,makh-sofe',machsôph,a peeling,from H2834 (חָשַׂף);,H4286,made appear.
4287,מַחַת,makh'-ath,Machath,"Machath, the name of two Israelites",probably from H4229 (מָחָה); erasure;,H4287,Mahath.
4288,מְחִתָּה,mekh-it-taw',mᵉchittâh,"properly, a dissolution; concretely, a ruin, or (abstractly) consternation",from H2846 (חָתָה);,H4288,"destruction, dismaying, ruin, terror."
4289,מַחְתָּה,makh-taw',machtâh,a pan for live coals,the same as H4288 (מְחִתָּה) in the sense of removal;,H4289,"censer, firepan, snuffdish."
4290,מַחְתֶּרֶת,makh-teh'-reth,machtereth,"a burglary; figuratively, unexpected examination",from H2864 (חָתַר);,H4290,"breaking up, secret search."
4291,מְטָא,met-aw',mᵉṭâʼ,"to arrive, extend or happen","(Aramaic) or מְטָה; (Aramaic), apparently corresponding to H4672 (מָצָא) in the intransitive sense of being found present;",H4291,"come, reach."
4292,מַטְאֲטֵא,mat-at-ay',maṭʼăṭêʼ,"a broom (as removing dirt (compare English 'to dust', i.e. remove dust))",apparently a denominative from H2916 (טִיט);,H4292,besom.
4293,מַטְבֵּחַ,mat-bay'-akh,maṭbêach,slaughter,from H2873 (טָבַח);,H4293,slaughter.
4294,מַטֶּה,mat-teh',maṭṭeh,"a branch (as extending); figuratively, a tribe; also a rod, whether for chastising (figuratively, correction), ruling (a sceptre), throwing (a lance), or walking (a staff; figuratively, a support of life, e.g. bread)",or (feminine) מַטָּה; from H5186 (נָטָה);,H4294,"rod, staff, tribe."
4295,מַטָּה,mat'-taw,maṭṭâh,"downward, below or beneath; often adverbially with or without prefixes",from H5786 (עָוַר) with directive enclitic appended;,H4295,"beneath, down(-ward), less, very low, under(-neath)."
4296,מִטָּה,mit-taw',miṭṭâh,"a bed (as extended) forsleeping or eating; by analogy, a sofa, litter or bier",from H5186 (נָטָה);,H4296,"bed(-chamber), bier."
4297,מֻטֶּה,moot-teh',muṭṭeh,"a stretching, i.e. distortion (figuratively, iniquity)",from H5186 (נָטָה);,H4297,perverseness.
4298,מֻטָּה,moot-taw',muṭṭâh,expansion,from H5186 (נָטָה);,H4298,stretching out.
4299,מַטְוֶה,mat-veh',maṭveh,something spun,from H2901 (טָוָה);,H4299,spun.
4300,מְטִיל,met-eel',mᵉṭîyl,an iron bar (as forged),from H2904 (טוּל) in the sense of hammering out;,H4300,bar.
4301,מַטְמוֹן,mat-mone',maṭmôwn,"a secret storehouse; hence, a secreted valuable (buried); generally money",or מַטְמֹן; or מַטְמֻן; from H2934 (טָמַן);,H4301,"hidden riches, (hid) treasure(-s)."
4302,מַטָּע,mat-taw',maṭṭâʻ,"something planted, i.e. the place (a garden or vineyard), or the thing (a plant, figuratively or men); by implication, the act, planting",from H5193 (נָטַע);,H4302,"plant(-ation, -ing)."
4303,מַטְעַם,mat-am',maṭʻam,a delicacy,or (feminine) מַטְעַמָּה; from H2938 (טָעַם);,H4303,"dainty (meat), savoury meat."
4304,מִטְפַּחַת,mit-pakh'-ath,miṭpachath,a wide cloak (for a woman),from H2946 (טָפַח);,H4304,"vail, wimple."
4305,מָטַר,maw-tar',mâṭar,to rain,a primitive root;,H4305,(cause to) rain (upon).
4306,מָטַר,maw-tawr',mâṭar,rain,from H4305 (מָטַר);,H4306,rain.
4307,מַטָּרָא,mat-taw-raw',maṭṭârâʼ,a jail (as a guard-house); also an aim (as being closely watched),or מַטָּרָה; from H5201 (נָטַר);,H4307,"mark, prison."
4308,מַטְרֵד,mat-rade',Maṭrêd,"Matred, an Edomitess",from H2956 (טָרַד); propulsive;,H4308,Matred.
4309,מַטְרִי,mat-ree',Maṭrîy,"Matri, an Israelite",from H4305 (מָטַר); rainy;,H4309,Matri.
4310,מִי,me,mîy,"who? (occasionally, by a peculiar idiom, of things); also (indefinitely) whoever; often used in oblique construction with prefix or suffix","an interrogative pronoun of persons, as H4100 (מָה) is of things,",H4310,"any (man), [idiom] he, [idiom] him, [phrase] O that! what, which, who(-m, -se, -soever), [phrase] would to God."
4311,מֵידְבָא,may-deb-aw',Mêydᵉbâʼ,"Medeba, a place in Palestine",from H4325 (מַיִם) and H1679 (דֹּבֶא); water of quiet;,H4311,Medeba.
4312,מֵידָד,may-dawd',Mêydâd,"Medad, an Israelite",from H3032 (יָדַד) in the sense of loving; affectionate;,H4312,Medad.
4313,מֵי הַיַּרְקוֹן,may hah'-ee-yar-kone',Mêy hay-Yarqôwn,"Me-haj-Jarkon, a place in Palestine",from H4325 (מַיִם) and H3420 (יֵרָקוֹן) with the art. interposed; water of the yellowness;,H4313,Me-jarkon.
4314,מֵי זָהָב,may zaw-hawb',Mêy Zâhâb,"Me-Zahab, an Edomite","from H4325 (מַיִם) and H2091 (זָהָב), water of gold;",H4314,Mezahab.
4315,מֵיטָב,may-tawb',mêyṭâb,the best part,from H3190 (יָטַב);,H4315,best.
4316,מִיכָא,mee-kaw',Mîykâʼ,"Mica, the name of two Israelites",a variation for H4318 (מִיכָה);,H4316,Micha.
4317,מִיכָאֵל,me-kaw-ale',Mîykâʼêl,"Mikael, the name of an archangel and of nine Israelites",from H4310 (מִי) and (the prefix derivative from) H3588 (כִּי) and H410 (אֵל); who (is) like God?;,H4317,Michael.
4318,מִיכָה,mee-kaw',Mîykâh,"Micah, the name of seven Israelites",an abbreviated form of H4320 (מִיכָיָה);,H4318,"Micah, Micaiah, Michah."
4319,מִיכָהוּ,me-kaw'-hoo,Mîykâhûw,"Mikehu, an Israelite prophet",a contr. for H4321 (מִיכָיְהוּ);,H4319,Micaiah (2 Chronicles 18:8).
4320,מִיכָיָה,me-kaw-yaw',Mîykâyâh,"Micajah, the name of two Israelites",from H4310 (מִי) and (the prefix derivative from) H3588 (כִּי) and H3050 (יָהּ); who (is) like Jah?;,H4320,"Micah, Michaiah. Compare H4318 (מִיכָה)."
4321,מִיכָיְהוּ,me-kaw-yeh-hoo',Mîykâyᵉhûw,"Mikajah, the name of three Israelites","or מִכָיְהוּ; (Jeremiah 36:11), abbreviated form for H4322 (מִיכָיָהוּ);",H4321,"Micah, Micaiah, Michaiah."
4322,מִיכָיָהוּ,me-kaw-yaw'-hoo,Mîykâyâhûw,"Mikajah, the name of an Israelite and an Israelitess",for H4320 (מִיכָיָה);,H4322,Michaiah.
4323,מִיכָל,me-kawl',mîykâl,"properly, a container, i.e. a streamlet",from H3201 (יָכֹל);,H4323,brook.
4324,מִיכָל,me-kawl',Mîykâl,"Mikal, Saul's daughter",apparently the same as H4323 (מִיכָל); revulet;,H4324,Michal.
4325,מַיִם,mah'-yim,mayim,"water; figuratively, juice; by euphemism, urine, semen",dual of a primitive noun (but used in a singular sense);,H4325,"[phrase] piss, wasting, water(-ing, (-course, -flood, -spring))."
4326,מִיָּמִן,me-yaw-meem',Mîyâmin,"Mijamin, the name of three Israelites",a form for H4509 (מִנְיָמִין);,H4326,"Miamin, Mijamin."
4327,מִין,meen,mîyn,"a sort, i.e. species",from an unused root meaning to portion out;,H4327,kind. Compare H4480 (מִן).
4328,מְיֻסָּדָה,meh-yoos-saw-daw',mᵉyuççâdâh,"something founded, i.e. a foundation","properly, feminine passive participle of H3245 (יָסַד);",H4328,foundation.
4329,מֵיסָךְ,may-sawk',mêyçâk,a portico (as covered),from H5526 (סָכַךְ);,H4329,covert.
4330,מִיץ,meets,mîyts,pressure,from H4160 (מוּץ);,H4330,"churning, forcing, wringing."
4331,מֵישָׁא,may-shaw',Mêyshâʼ,"Mesha, a place in Arabia; also an Israelite",from H4185 (מוּשׁ); departure;,H4331,Mesha.
4332,מִישָׁאֵל,mee-shaw-ale',Mîyshâʼêl,"Mishael, the name of three Israelites",from H4310 (מִי) and H410 (אֵל) with the abbreviated form insep. relatively (see H834 (אֲשֶׁר)) interposed; who (is) what God (is) ?;,H4332,Mishael.
4333,מִישָׁאֵל,mee-shaw-ale',Mîyshâʼêl,"Mishael, an Israelite",(Aramaic) corresponding to H4332 (מִישָׁאֵל);,H4333,Mishael.
4334,מִישׁוֹר,mee-shore',mîyshôwr,"a level, i.e. a plain (often used (with the article prefix) as a proper name of certain districts); figuratively, concord; also straightness, i.e. (figuratively) justice (sometimes adverbially, justly)",or מִישֹׁר; from H3474 (יָשַׁר);,H4334,"equity, even place, plain, right(-eously), (made) straight, uprightness."
4335,מֵישַׁךְ,may-shak',Mêyshak,"Meshak, an Israelite",borrowed from H4336 (מֵישַׁךְ);,H4335,Meshak.
4336,מֵישַׁךְ,may-shak',Mêyshak,"Meshak, the Babylonian",(Aramaic) of foreign origin and doubtful significance; name of H4333 (מִישָׁאֵל),H4336,Meshak.
4337,מֵישָׁע,may-shah',Mêyshâʻ,"Mesha, an Israelite",from H3467 (יָשַׁע); safety;,H4337,Mesha.
4338,מֵישַׁע,may-shaw',Mêyshaʻ,"Mesha, a Moabite",a variation for H4337 (מֵישָׁע); safety;,H4338,Mesha.
4339,מֵישָׁר,may-shawr',mêyshâr,"evenness, i.e. (figuratively) prosperity or concord; also straightness, i.e. (figuratively) rectitude (only in plural with singular sense; often adverbially)",from H3474 (יָשַׁר);,H4339,"agreement, aright, that are equal, equity, (things that are) right(-eously, things), sweetly, upright(-ly, -ness)."
4340,מֵיתָר,may-thar',mêythâr,a cord (of a tent); or the string (of a bow),from H3498 (יָתַר); (compare H3499 (יֶתֶר)),H4340,"cord, string."
4341,מַכְאֹב,mak-obe',makʼôb,anguish or (figuratively) affliction,sometimes מַכְאוֹב; also (feminine Isaiah 53:3) מַכְאֹבָה; from H3510 (כָּאַב);,H4341,"grief, pain, sorrow."
4342,מַכְבִּיר,mak-beer',makbîyr,plenty,transitive participle of H3527 (כָּבַר);,H4342,abundance.
4343,מַכְבֵּנָא,mak-bay-naw',Makbênâʼ,"Macbena, a place in Palestine settled by him",from the same as H3522 (כַּבּוֹן); knoll;,H4343,Machbenah.
4344,מַכְבַּנַּי,mak-ban-nah'-ee,Makbannay,a Macbannite or native of Macbena,patrial from H4343 (מַכְבֵּנָא);,H4344,Machbanai.
4345,מַכְבֵּר,mak-bare',makbêr,a grate,from H3527 (כָּבַר) in the sense of covering (compare H3531 (כְּבָרָה));,H4345,grate.
4346,מַכְבָּר,mak-bawr',makbâr,a cloth (as netted),from H3527 (כָּבַר) in the sense of covering; (compare H4345 (מַכְבֵּר)),H4346,thick cloth.
4347,מַכָּה,mak-kaw',makkâh,"a wound; figuratively, carnage, also pestilence","or (masculine) מַכֶּה; (plural only) from H5221 (נָכָה); a blow (in 2 Chronicles 2:10, of the flail); by implication,",H4347,"beaten, blow, plague, slaughter, smote, [idiom] sore, stripe, stroke, wound(-ed)."
4348,מִכְוָה,mik-vaw',mikvâh,a burn,from H3554 (כָּוָה);,H4348,"that burneth, burning."
4349,מָכוֹן,maw-kone',mâkôwn,"properly, a fixture, i.e. a basis; generally a place, especially as an abode",from H3559 (כּוּן);,H4349,"foundation, habitation, (dwelling-, settled) place."
4350,מְכוֹנָה,mek-o-naw',mᵉkôwnâh,"a pedestal, also a spot",or מְכֹנָה; feminine of H4349 (מָכוֹן);,H4350,base.
4351,מְכוּרָה,mek-oo-raw',mᵉkûwrâh,origin (as if a mine),or מְכֹרָה; from the same as H3564 (כּוּר) in the sense of dipping;,H4351,"birth, habitation, nativity."
4352,מָכִי,maw-kee',Mâkîy,"Maki, an Israelite",probably from H4134 (מוּךְ); pining;,H4352,Machi.
4353,מָכִיר,maw-keer',Mâkîyr,"Makir, an Israelite",from H4376 (מָכַר); salesman;,H4353,Machir.
4354,מָכִירִי,maw-kee-ree',Mâkîyrîy,a Makirite or descendant of Makir,patronymical from H4353 (מָכִיר);,H4354,of Machir.
4355,מָכַךְ,maw-kak',mâkak,"to tumble (in ruins); figuratively, to perish",a primitive root;,H4355,"be brought low, decay."
4356,מִכְלָאָה,mik-law-aw',miklâʼâh,a pen (for flocks),or מִכְלָה; from H3607 (כָּלָא);,H4356,(sheep-)fold. Compare H4357 (מִכְלָה).
4357,מִכְלָה,mik-law',miklâh,"completion (in plural concrete adverbial, wholly)",from H3615 (כָּלָה);,H4357,perfect. Compare H4356 (מִכְלָאָה).
4358,מִכְלוֹל,mik-lole',miklôwl,"perfection (i.e. concrete adverbial, splendidly)",from H3634 (כָּלַל);,H4358,"most gorgeously, all sorts."
4359,מִכְלָל,mik-lawl',miklâl,perfection (of beauty),from H3634 (כָּלַל);,H4359,perfection.
4360,מִכְלֻל,mik-lool',miklul,"something perfect, i.e. a splendid garment",from H3634 (כָּלַל);,H4360,all sorts.
4361,מַכֹּלֶת,mak-ko'-leth,makkôleth,nourishment,from H398 (אָכַל);,H4361,food.
4362,מִכְמַן,mik-man',mikman,treasure (as hidden),from the same as H3646 (כַּמֹּן) in the sense of hiding;,H4362,treasure.
4363,מִכְמָס,mik-maws',Mikmâç,"Mikmas or Mikmash, a place in Palestine","(Ezra 2:2 or מִכְמָשׁ; or מִכְמַשׁ; (Nehemiah 11:31), from H3647 (כָּמַס); hidden;",H4363,"Mikmas, Mikmash."
4364,מַכְמָר,mak-mawr',makmâr,a (hunter's) net (as dark from concealment),or מִכְמֹר; from H3648 (כָּמַר) in the sense of blackening by heat;,H4364,net.
4365,מִכְמֶרֶת,mik-meh'-reth,mikmereth,a (fisher's) net,or מִכְמֹרֶת; feminine of H4364 (מַכְמָר);,H4365,"drag, net."
4366,מִכְמְתָת,mik-meth-awth',Mikmᵉthâth,"Mikmethath, a place in Palestine",apparently from an unused root meaning to hide; concealment;,H4366,Michmethath.
4367,מַכְנַדְבַי,mak-nad-bah'-ee,Maknadbay,"Maknadbai, an Israelite",from H4100 (מָה) and H5068 (נָדַב) with a particle interposed; what (is) like (a) liberal (man) ?;,H4367,Machnadebai.
4368,מְכֹנָה,mek-o-naw',Mᵉkônâh,"Mekonah, a place in Palestine",the same as H4350 (מְכוֹנָה); a base;,H4368,Mekonah.
4369,מְכֻנָה,mek-oo-naw',mᵉkunâh,a spot,the same as H4350 (מְכוֹנָה);,H4369,base.
4370,מִכְנָס,mik-nawce',miknâç,(only in dual) drawers (from concealing the private parts),from H3647 (כָּמַס) in the sense of hiding;,H4370,breeches.
4371,מֶכֶס,meh'-kes,mekeç,an assessment (as based upon a census),probably from an unused root meaning to enumerate;,H4371,tribute.
4372,מִכְסֶה,mik-seh',mikçeh,"a covering, i.e. weatherboarding",from H3680 (כָּסָה);,H4372,covering.
4373,מִכְסָה,mik-saw',mikçâh,"an enumeration; by implication, a valuation",feminine of H4371 (מֶכֶס);,H4373,"number, worth."
4374,מְכַסֶּה,mek-as-seh',mᵉkaççeh,"a covering, i.e. garment; specifically, a coverlet (for a bed), an awning (from the sun); also the omentum (as covering the intestines)",from H3680 (כָּסָה);,H4374,"clothing, to cover, that which covereth."
4375,מַכְפֵּלָה,mak-pay-law',Makpêlâh,"Makpelah, a place in Palestine",from H3717 (כָּפַל); a fold;,H4375,Machpelah.
4376,מָכַר,maw-kar',mâkar,"to sell, literally (as merchandise, a daughter in marriage, into slavery), or figuratively (to surrender)",a primitive root;,H4376,"[idiom] at all, sell (away, -er, self)."
4377,מֶכֶר,meh'-ker,meker,merchandise; also value,from H4376 (מָכַר);,H4377,"pay, price, ware."
4378,מַכָּר,mak-kawr',makkâr,an acquaintance,from H5234 (נָכַר);,H4378,acquaintance.
4379,מִכְרֶה,mik-reh',mikreh,a pit (for salt),from H3738 (כָּרָה);,H4379,(salt-) pit.
4380,מְכֵרָה,mek-ay-raw',mᵉkêrâh,a sword,probably from the same as H3564 (כּוּר) in the sense of stabbing;,H4380,habitation.
4381,מִכְרִי,mik-ree',Mikrîy,"Mikri, an Israelite",from H4376 (מָכַר); salesman;,H4381,Michri.
4382,מְכֵרָתִי,mek-ay-raw-thee',Mᵉkêrâthîy,"a Mekerathite, or inhabitant of Mekerah",patrial from an unused name (the same as H4380 (מְכֵרָה)) of a place in Palestine;,H4382,Mecherathite.
4383,מִכְשׁוֹל,mik-shole',mikshôwl,"a stumbling-block, literally or figuratively (obstacle, enticement (specifically an idol), scruple)",or מִכְשֹׁל; masculine from H3782 (כָּשַׁל);,H4383,"caused to fall, offence, [idiom] (no-) thing offered, ruin, stumbling-block."
4384,מַכְשֵׁלָה,mak-shay-law',makshêlâh,"a stumbling-block, but only figuratively (fall, enticement (idol))",feminine from H3782 (כָּשַׁל);,H4384,"ruin, stumbling-block."
4385,מִכְתָּב,mik-tawb',miktâb,"a thing written, the characters, or a document (letter, copy, edict, poem)",from H3789 (כָּתַב);,H4385,writing.
4386,מְכִתָּה,mek-it-taw',mᵉkittâh,a fracture,from H3807 (כָּתַת);,H4386,bursting.
4387,מִכְתָּם,mik-tawm',miktâm,"an engraving, i.e. (techn.) a poem",from H3799 (כָּתַם);,H4387,Michtam.
4388,מַכְתֵּשׁ,mak-taysh',maktêsh,"a mortar; by analogy, a socket (of a tooth)",from H3806 (כָּתַשׁ);,H4388,"hollow place, mortar."
4389,מַכְתֵּשׁ,mak-taysh',Maktêsh,"dell; the Maktesh, a place in Jerusalem",the same as H4388 (מַכְתֵּשׁ);,H4389,Maktesh.
4390,מָלֵא,maw-lay',mâlêʼ,"to fill or (intransitively) be full of, in a wide application (literally and figuratively)","or מָלָא; (Esther 7:5), a primitive root;",H4390,"accomplish, confirm, [phrase] consecrate, be at an end, be expired, be fenced, fill, fulfil, (be, become, [idiom] draw, give in, go) full(-ly, -ly set, tale), (over-) flow, fulness, furnish, gather (selves, together), presume, replenish, satisfy, set, space, take a (hand-) full, [phrase] have wholly."
4391,מְלָא,mel-aw',mᵉlâʼ,to fill,(Aramaic) corresponding to H4390 (מָלֵא);,H4391,"fill, be full."
