id,pronunciation,lemma,transliteration,definition,strongsNumber,englishWord
2927,kroop-tos',κρυπτός,kryptós,"[κρυπτός] from {{g2928}}; concealed, i.e. private",g2927,"secret 12, hid 3, hidden 3, inwardly 1"
2928,kroop'-to,κρύπτω,krýptō,"[κρύπτω] a primary verb; to conceal (properly, by covering)",g2928,"hide 11, hide (one's) self 2, keep secret 1, secretly 1, hidden 1"
2929,kroos-tal-lid'-zo,κρυσταλλίζω,krystallízō,"""[κρυσταλλίζω] from {{g2930}}; to make (i.e. intransitively, resemble) ice (""crystallize"")"",g2929,""clear as crystal 1",NULL,
2930,kroos'-tal-los,κρύσταλλος,krýstallos,"""[κρύσταλλος] from a derivative of κρύος (frost); ice, i.e. (by analogy) rock ""crystal"""",g2930,""crystal 2",NULL,
2931,kroo-fay',κρυφῆ,kryphē,[κρυφῆ] adverb from {{g2928}}; privately,g2931,in secret 1
2932,ktah'-om-ahee,κτάομαι,ktáomai,"[κτάομαι] a primary verb; to get, i.e. acquire (by any means; own)",g2932,"possess 3, purchase 2, provide 1, obtain 1"
2933,ktay'-mah,κτῆμα,ktēma,"[κτῆμα] from {{g2932}}; an acquirement, i.e. estate",g2933,possession 4
2934,ktay'-nos,κτῆνος,ktēnos,"[κτῆνος] from {{g2932}}; property, i.e. (specially) a domestic animal",g2934,beast 4
2935,ktay'-tore,κτήτωρ,ktḗtōr,[κτήτωρ] from {{g2932}}; an owner,g2935,possessor 1
2936,ktid'-zo,κτίζω,ktízō,"[κτίζω] probably akin to {{g2932}} (through the idea of proprietorship of the manufacturer); to fabricate, i.e. found (form originally)",g2936,"create 12, Creator 1, make 1"
2937,ktis'-is,κτίσις,ktísis,"[κτίσις] from {{g2936}}; original formation (properly, the act; by implication, the thing, literally or figuratively)",g2937,"creature 11, creation 6, building 1, ordinance 1"
2938,ktis'-mah,κτίσμα,ktísma,"[κτίσμα] from {{g2936}}; an original formation (concretely), i.e. product (created thing)",g2938,creature 4
2939,ktis-tace',κτίστης,ktístēs,"[κτίστης] from {{g2936}}; a founder, i.e. God (as author of all things)",g2939,Creator 1
2940,koo-bi'-ah,κυβεία,kybeía,"""[κυβεία] from κύβος (a ""cube"", i.e. die for playing); gambling, i.e. (figuratively) artifice or fraud"",g2940,""sleight 1",NULL,
2941,koo-ber'-nay-sis,κυβέρνησις,kybérnēsis,"[κυβέρνησις] from κυβερνάω (of Latin origin, to steer); pilotage, i.e. (figuratively) directorship (in the church)",g2941,government 1
2942,koo-ber-nay'-tace,κυβερνήτης,kybernḗtēs,"[κυβερνήτης] from the same as {{g2941}}; helmsman, i.e. (by implication) captain",g2942,"master 1, shipmaster 1"
2943,koo-kloth'-en,κυκλόθεν,kyklóthen,"[κυκλόθεν] adverb from the same as {{g2945}}; from the circle, i.e. all around",g2943,"round about 3, about 1"
2944,koo-klo'-o,κυκλόω,kyklóō,"[κυκλόω] from the same as {{g2945}}; to encircle, i.e. surround",g2944,"compass about 2, compass 1, come round about 1, stand round about 1"
2945,koo'-klo,κύκλῳ,kýklōi,"""[κύκλῳ] as if dative case of κύκλος (a ring, ""cycle""; akin to {{g2947}}); i.e. in a circle (by implication, of {{g1722}}), i.e. (adverbially) all around"",g2945,""round about 6, round 1",NULL,
2946,koo'-lis-mah,κύλισμα,kýlisma,"[κύλισμα] from {{g2947}}; a wallow (the effect of rolling), i.e. filth",g2946,wallowing 1
2947,koo-lee-o'-o,κυλιόω,kylióō,"[κυλιόω] from the base of {{g2949}} (through the idea of circularity; compare {{g2945}}, {{g1507}}); to roll about",g2947,wallow 1
2948,kool-los',κυλλός,kyllós,"[κυλλός] from the same as {{g2947}}; rocking about, i.e. crippled (maimed, in feet or hands)",g2948,maimed 4
2949,koo'-mah,κῦμα,kŷma,"[κῦμα] from κύω (to swell (with young), i.e. bend, curve); a billow (as bursting or toppling)",g2949,wave 5
2950,koom'-bal-on,κύμβαλον,kýmbalon,"""[κύμβαλον] from a derivative of the base of {{g2949}}; a ""cymbal"" (as hollow)"",g2950,""cymbal 1",NULL,
2951,koo'-min-on,κύμινον,kýminon,"""[κύμινον] of foreign origin (compare {{h3646}}); dill or fennel (""cummin"")"",g2951,""cummin 1",NULL,
2952,koo-nar'-ee-on,κυνάριον,kynárion,[κυνάριον] neuter of a presumed derivative of {{g2965}}; a puppy,g2952,dog 4
2953,koo'-pree-os,Κύπριος,Kýprios,"[Κύπριος] from {{g2954}}; a Cyprian (Cypriot), i.e. inhabitant of Cyprus",g2953,Cyprus 3
2954,koo'-pros,Κύπρος,Kýpros,"[Κύπρος] of uncertain origin; Cyprus, an island in the Mediterranean",g2954,Cyprus 5
2955,koop'-to,κύπτω,kýptō,[κύπτω] probably from the base of {{g2949}}; to bend forward,g2955,"stoop 2, stoop down 1"
2956,koo-ray-nah'-yos,Κυρηναῖος,Kyrēnaîos,"[Κυρηναῖος] from {{g2957}}; i.e. Cyrenæan, i.e. inhabitant of Cyrene",g2956,"Cyrene 3, Cyrenian 3"
2957,koo-ray'-nay,Κυρήνη,Kyrḗnē,"[Κυρήνη] of uncertain derivation; Cyrene, a region of Africa",g2957,Cyrene 1
2958,koo-ray'-nee-os,Κυρήνιος,Kyrḗnios,"[Κυρήνιος] of Latin origin; Cyrenius (i.e. Quirinus), a Roman",g2958,Cyrenius 1
2959,koo-ree'-ah,Κυρία,Kyría,"[Κυρία] feminine of {{g2962}}; Cyria, a Christian woman",g2959,lady 2
2960,koo-ree-ak-os',κυριακός,kyriakós,[κυριακός] from {{g2962}}; belonging to the Lord (Jehovah or Jesus),g2960,Lord's 2
2961,ko-ree-yoo'-o,κυριεύω,kyrieúō,[κυριεύω] from {{g2962}}; to rule,g2961,"have dominion over 4, exercise lordship over 1, be Lord of 1, lords 1"
2962,koo'-ree-os,κύριος,kýrios,"[κύριος] from κῦρος (supremacy); supreme in authority, i.e. (as noun) controller; by implication, Master (as a respectful title)",g2962,"Lord 667, lord 54, master 11, sir 6, Sir 6, misc 4"
2963,koo-ree-ot'-ace,κυριότης,kyriótēs,"[κυριότης] from {{g2962}}; mastery, i.e. (concretely and collectively) rulers",g2963,"dominion 3, government 1"
2964,koo-ro'-o,κυρόω,kyróō,"[κυρόω] from the same as {{g2962}}; to make authoritative, i.e. ratify",g2964,confirm 2
2965,koo'-ohn,κύων,kýōn,"""[κύων] a primary word; a dog (""hound"") (literally or figuratively)"",g2965,""dog 5",NULL,
2966,ko'-lon,κῶλον,kōlon,[κῶλον] from the base of {{g2849}}; a limb of the body (as if lopped),g2966,carcase 1
2967,ko-loo'-o,κωλύω,kōlýō,"[κωλύω] from the base of {{g2849}}; to estop, i.e. prevent (by word or act)",g2967,"forbid 17, hinder 2, withstand 1, keep from 1, let 1, not suffer 1"
2968,ko'-may,κώμη,kṓmē,[κώμη] from {{g2749}}; a hamlet (as if laid down),g2968,"village 17, town 11"
2969,ko-mop'-ol-is,κωμόπολις,kōmópolis,[κωμόπολις] from {{g2968}} and {{g4172}}; an unwalled city,g2969,town 1
2970,ko'-mos,κῶμος,kōmos,[κῶμος] from {{g2749}}; a carousal (as if letting loose),g2970,"revelling 2, rioting 1"
2971,ko'-nopes,κώνωψ,kṓnōps,[κώνωψ] apparently a derivative of the base of {{g2759}} and a derivative of {{g3700}}; a mosquito (from its stinging proboscis),g2971,gnat 1
2972,koce,Κώς,Kṓs,"[Κώς] of uncertain origin; Cos, an island in the Mediterranean",g2972,Coos 1
2973,ko-sam',Κωσάμ,Kōsám,[Κωσάμ] of Hebrew origin (compare {{h7081}}); Cosam (i.e. Kosam) an Israelite,g2973,Cosam 1
2974,ko-fos',κωφός,kōphós,"[κωφός] from {{g2875}}; blunted, i.e. (figuratively) of hearing (deaf) or speech (dumb)",g2974,"dumb 8, deaf 5, speechless 1"
2975,lang-khan'-o,λαγχάνω,lanchánō,"[λαγχάνω] a prolonged form of a primary verb, which is only used as an alternate in certain tenses; to lot, i.e. determine (by implication, receive) especially by lot",g2975,"obtain 2, be (one's) lot 1, cast lots 1"
2976,lad'-zar-os,Λάζαρος,Lázaros,"[Λάζαρος] probably of Hebrew origin ({{h499}}); Lazarus (i.e. Elazar), the name of two Israelites (one imaginary)",g2976,"Lazarus 11, Lazarus (the poor man) 4"
2977,lath'-rah,λάθρα,láthra,[λάθρα] adverb from {{g2990}}; privately,g2977,"privily 3, secretly 1"
2978,lah'-ee-laps,λαῖλαψ,laîlaps,[λαῖλαψ] of uncertain derivation; a whirlwind (squall),g2978,"storm 2, tempest 1"
2979,lak-tid'-zo,λακτίζω,laktízō,[λακτίζω] from adverb λάξ (heelwise); to recalcitrate,g2979,kick 2
2980,lal-eh'-o,λαλέω,laléō,"[λαλέω] a prolonged form of an otherwise obsolete verb; to talk, i.e. utter words Compare {{g3004}}.",g2980,"speak 244, say 15, tell 12, talk 11, preach 6, utter 4, misc 3, vr speak 1"
2981,lal-ee-ah',λαλιά,laliá,[λαλιά] from {{g2980}}; talk,g2981,"speech 3, saying 1"
2982,lam-ah',λαμά,lamá,[λαμά]   or λαμμᾶ;  of Hebrew origin ({{h4100}} with prepositional prefix); lama (i.e. why),g2982,lama 2
2983,lam-ban'-o,λαμβάνω,lambánō,"[λαμβάνω] a prolonged form of a primary verb, which is use only as an alternate in certain tenses; to take (in very many applications, literally and figuratively (properly objective or active, to get hold of; whereas {{g1209}} is rather subjective or passive, to have offered to one; while {{g138}} is more violent, to seize or remove))",g2983,"receive 133, take 106, have 3, catch 3, not tr 1, misc 17"
2984,lam'-ekh,Λάμεχ,Lámech,"[Λάμεχ] of Hebrew origin ({{h3929}}); Lamech (i.e. Lemek), a patriarch",g2984,Lamech 1
2985,lam-pas',λαμπάς,lampás,"""[λαμπάς] from {{g2989}}; a ""lamp"" or flambeau"",g2985,""lamp 7, torch 1, light 1",NULL,
2986,lam-pros',λαμπρός,lamprós,"[λαμπρός] from the same as {{g2985}}; radiant; by analogy, limpid; figuratively, magnificent or sumptuous (in appearance)",g2986,"bright 2, goodly 2, white 2, gorgeous 1, gay 1, clear 1"
2987,lam-prot'-ace,λαμπρότης,lamprótēs,[λαμπρότης] from {{g2986}}; brilliancy,g2987,brightness 1
2988,lam-proce',λαμπρῶς,lamprōs,"[λαμπρῶς] adverb from {{g2986}}; brilliantly, i.e. figuratively, luxuriously",g2988,sumptuously 1
2989,lam'-po,λάμπω,lámpō,"[λάμπω] a primary verb; to beam, i.e. radiate brilliancy (literally or figuratively)",g2989,"shine 6, give light 1"
2990,lan-than'-o,λανθάνω,lanthánō,"[λανθάνω] a prolonged form of a primary verb, which is used only as an alternate in certain tenses; to lie hid (literally or figuratively); often used adverbially, unwittingly",g2990,"be hid 3, be ignorant of 2, unawares 1"
2991,lax-yoo-tos',λαξευτός,laxeutós,[λαξευτός] from a compound of λᾶς (a stone) and the base of {{g3584}} (in its original sense of scraping); rock-quarried,g2991,hewn in stone 1
2992,lah-os',λαός,laós,"[λαός] apparently a primary word; a people (in general; thus differing from {{g1218}}, which denotes one's own populace)",g2992,people 143
2993,lah-od-ik'-i-ah,Λαοδίκεια,Laodíkeia,"[Λαοδίκεια] from a compound of {{g2992}} and {{g1349}}; Laodicia, a place in Asia Minor",g2993,Laodicea 6
2994,lah-od-ik-yooce',Λαοδικεύς,Laodikeús,"[Λαοδικεύς] from {{g2993}}; a Laodicean, i.e. inhabitant of Laodicia",g2994,Laodiceans 2
2995,lar'-oongks,λάρυγξ,lárynx,"""[λάρυγξ] of uncertain derivation; the throat (""larynx"")"",g2995,""throat 1",NULL,
2996,las-ah'-yah,Λασαία,Lasaía,"[Λασαία] of uncertain origin; Lasæa, a place in Crete",g2996,Lasea 1
2997,las'-kho,λάσχω,láschō,"[λάσχω] a strengthened form of a primary verb, which only occurs in this and another prolonged form as alternate in certain tenses; to crack open (from a fall)",g2997,burst asunder 1
2998,lat-om-eh'-o,λατομέω,latoméō,[λατομέω] from the same as the first part of {{g2991}} and the base of {{g5114}}; to quarry,g2998,hew 2
2999,lat-ri'-ah,λατρεία,latreía,"[λατρεία] from {{g3000}}; ministration of God, i.e. worship",g2999,"service 4, divine service 1"
3000,lat-ryoo'-o,λατρεύω,latreúō,"[λατρεύω] from λάτρις (a hired menial); to minister (to God), i.e. render religious homage",g3000,"serve 16, worship 3, do the service 1, worshipper 1"
3001,lakh'-an-on,λάχανον,láchanon,[λάχανον] from λαχαίνω (to dig); a vegetable,g3001,herb 4
3002,leb-bah'-yos,Λεββαῖος,Lebbaîos,"[Λεββαῖος] of uncertain origin; Lebbæus, a Christian",g3002,Lebbaeus 1
3003,leg-eh-ohn',λεγεών,legeṓn,"""[λεγεών] of Latin origin; a ""legion"", i.e. Roman regiment (figuratively)"",g3003,""legion 4",NULL,
3004,leg'-o,λέγω,légō,"""[λέγω] a primary verb; properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas {{g2036}} and {{g5346}} generally refer to an individual expression or speech respectively; while {{g4483}} is properly to break silence merely, and {{g2980}} means an extended or random harangue)); by implication, to mean"",g3004,""say 1184, speak 61, call 48, tell 33, misc 17",NULL,
3005,lime'-mah,λεῖμμα,leîmma,[λεῖμμα] from {{g3007}}; a remainder,g3005,remnant 1
3006,li'-os,λεῖος,leîos,"""[λεῖος] apparently a primary word; smooth, i.e. ""level"""",g3006,""smooth 1",NULL,
3007,li'-po,λείπω,leípō,"[λείπω] a primary verb; to leave, i.e. (intransitively or passively) to fail or be absent",g3007,"lack 2, be wanting 2, want + \\1722\\ 1, be destitute 1"
3008,li-toorg-eh'-o,λειτουργέω,leitourgéō,"[λειτουργέω] from {{g3011}}; to be a public servant, i.e. (by analogy) to perform religious or charitable functions (worship, obey, relieve)",g3008,minister 3
3009,li-toorg-ee'-ah,λειτουργία,leitourgía,"""[λειτουργία] from {{g3008}}; public function (as priest (""liturgy"") or almsgiver)"",g3009,""service 3, ministry 2, ministration 1",NULL,
3010,li-toorg-ik-os',λειτουργικός,leitourgikós,"""[λειτουργικός] from the same as {{g3008}}; functional publicly (""liturgic""); i.e. beneficient"",g3010,""ministering 1",NULL,
3011,li-toorg-os',λειτουργός,leitourgós,"[λειτουργός] from a derivative of {{g2992}} and {{g2041}}; a public servant, i.e. a functionary in the Temple or Gospel, or (genitive case) a worshipper (of God) or benefactor (of man)",g3011,"minister 4, he that ministers 1"
3012,len'-tee-on,λέντιον,léntion,"""[λέντιον] of Latin origin; a ""linen"" cloth, i.e. apron"",g3012,""towel 2",NULL,
3013,lep-is',λεπίς,lepís,[λεπίς] from λέπω (to peel); a flake,g3013,scale 1
3014,lep'-rah,λέπρα,lépra,"""[λέπρα] from the same as {{g3013}}; scaliness, i.e. ""leprosy"""",g3014,""leprosy 4",NULL,
3015,lep-ros',λεπρός,leprós,"[λεπρός] from the same as {{g3014}}; scaly, i.e. leprous (a leper)",g3015,leper 9
3016,lep-ton',λεπτόν,leptón,"[λεπτόν] neuter of a derivative of the same as {{g3013}}; something scaled (light), i.e. a small coin",g3016,mite 3
3017,lyoo'-ee,Λευΐ,Leuḯ,"[Λευΐ] of Hebrew origin ({{h3878}}); Levi, the name of three Israelites Compare {{g3018}}.",g3017,Levi 5
3018,lyoo-is',Λευΐς,Leuḯs,"[Λευΐς] a form of {{g3017}}; Lewis (i.e. Levi), a Christian",g3018,Levi 3
3019,lyoo-ee'-tace,Λευΐτης,Leuḯtēs,"[Λευΐτης] from {{g3017}}; a Levite, i.e. descendant of Levi",g3019,Levite 3
3020,lyoo-it'-ee-kos,Λευϊτικός,Leuïtikós,"[Λευϊτικός] from {{g3019}}; Levitic, i.e. relating to the Levites",g3020,Levitical 1
3021,lyoo-kah'-ee-no,λευκαίνω,leukaínō,[λευκαίνω] from {{g3022}}; to whiten,g3021,"white 1, make white 1"
3022,lyoo-kos',λευκός,leukós,"""[λευκός] from λύκη (""light""); white"",g3022,""white 25",NULL,
3023,leh-ohn',λέων,léōn,"""[λέων] a primary word; a ""lion"""",g3023,""lion 9",NULL,
3024,lay'-thay,λήθη,lḗthē,[λήθη] from {{g2990}}; forgetfulness,g3024,forget + \\3083\\ 1
3025,lay-nos',ληνός,lēnós,"[ληνός] apparently a primary word; a trough, i.e. wine-vat",g3025,"winepress 4, winepress + \\3631\\ 1"
3026,lay'-ros,λῆρος,lēros,"[λῆρος] apparently a primary word; twaddle, i.e. an incredible story",g3026,idle tales 1
3027,lace-tace',λῃστής,lēistḗs,[λῃστής] from ληΐζομαι (to plunder); a brigand,g3027,"thief 11, robber 4"
3028,lape'-sis,λῆμψις,lēmpsis,[λῆμψις] from {{g2983}}; receipt (the act),g3028,receiving 1
3029,lee'-an,λίαν,lían,[λίαν] of uncertain affinity; much (adverbially),g3029,"exceeding 5, greatly 4, very chiefest + \\5228\\ 2, great 1, sore 1, very 1"
3030,lib'-an-os,λίβανος,líbanos,"[λίβανος] of foreign origin ({{h3828}}); the incense-tree, i.e. (by implication) incense itself",g3030,frankincense 2
3031,lib-an-o-tos',λιβανωτός,libanōtós,"[λιβανωτός] from {{g3030}}; frankincense, i.e. (by extension) a censer for burning it",g3031,censer 2
3032,lib-er-tee'-nos,Λιβερτῖνος,Libertînos,[Λιβερτῖνος] of Latin origin; a Roman freedman,g3032,Libertine 1
3033,lib-oo'-ay,Λιβύη,Libýē,"[Λιβύη] probably from {{g3047}}; Libye, a region of Africa",g3033,Libya 1
3034,lith-ad'-zo,λιθάζω,litházō,[λιθάζω] from {{g3037}}; to lapidate,g3034,stone 8
3035,lith-ee'-nos,λίθινος,líthinos,"[λίθινος] from {{g3037}}; stony, i.e. made of stone",g3035,of stone 3
3036,lith-ob-ol-eh'-o,λιθοβολέω,lithoboléō,"[λιθοβολέω] from a compound of {{g3037}} and {{g906}}; to throw stones, i.e. lapidate",g3036,"stone 8, cast stone 1"
3037,lee'-thos,λίθος,líthos,[λίθος] apparently a primary word; a stone (literally or figuratively),g3037,"stone 49, one stone 4, another 4, stumbling stone + \\4348\\ 2, mill stone + \\3457\\ 1"
3038,lith-os'-tro-tos,λιθόστρωτος,lithóstrōtos,"[λιθόστρωτος] from {{g3037}} and a derivative of {{g4766}}; stone-strewed, i.e. a tessellated mosaic on which the Roman tribunal was placed",g3038,Pavement 1
3039,lik-mah'-o,λικμάω,likmáō,"[λικμάω] from λικμός, the equivalent of λίκνον (a winnowing fan or basket); to winnow, i.e. (by analogy), to triturate",g3039,grind to powder 2
3040,lee-mane',λιμήν,limḗn,[λιμήν] apparently a primary word; a harbor Compare {{g2568}}.,g3040,"haven 2, the fair havens + \\2570\\ 1"
3041,lim'-nay,λίμνη,límnē,[λίμνη] probably from {{g3040}} (through the idea of nearness of shore); a pond (large or small),g3041,lake 10
3042,lee-mos',λιμός,limós,[λιμός] probably from {{g3007}} (through the idea of destitution); a scarcity of food,g3042,"famine 7, hunger 3, dearth 2"
3043,lee'-non,λίνον,línon,"""[λίνον] probably a primary word; flax, i.e. (by implication) ""linen"""",g3043,""flax 1, linen 1",NULL,
3044,lee'-nos,Λίνος,Línos,"[Λίνος] perhaps from {{g3043}}; Linus, a Christian",g3044,Linus 1
3045,lip-ar-os',λιπαρός,liparós,"[λιπαρός] from λίπος (grease); fat, i.e. (figuratively) sumptuous",g3045,dainty 1
3046,lee'-trah,λίτρα,lítra,[λίτρα] of Latin origin (libra); a pound in weight,g3046,pound 2
3047,leeps,λίψ,líps,"""[λίψ] probably from λείβω (to pour a ""libation""); the south(- west) wind (as bringing rain, i.e. (by extension) the south quarter)"",g3047,""south west 1",NULL,
3048,log-ee'-ah,λογία,logía,[λογία] from {{g3056}} (in the commercial sense); a contribution,g3048,"collection 1, gatherings 1"
3049,log-id'-zom-ahee,λογίζομαι,logízomai,"[λογίζομαι] middle voice from {{g3056}}; to take an inventory, i.e. estimate (literally or figuratively)",g3049,"think 9, impute 8, reckon 6, count 5, account 4, suppose 2, reason 1, number 1, misc 5"
3050,log-ik-os',λογικός,logikós,"""[λογικός] from {{g3056}}; rational (""logical"")"",g3050,""reasonable 1, of the word 1",NULL,
3051,log'-ee-on,λόγιον,lógion,[λόγιον] neuter of {{g3052}}; an utterance (of God),g3051,oracle 4
3052,log'-ee-os,λόγιος,lógios,"[λόγιος] from {{g3056}}; fluent, i.e. an orator",g3052,eloquent 1
3053,log-is-mos',λογισμός,logismós,"[λογισμός] from {{g3049}}; computation, i.e. (figuratively) reasoning (conscience, conceit)",g3053,"thought 1, imagination 1"
3054,log-om-akh-eh'-o,λογομαχέω,logomachéō,[λογομαχέω] from a compound of {{g3056}} and {{g3164}}; to be disputatious (on trifles),g3054,strive about words 1
3055,log-om-akh-ee'-ah,λογομαχία,logomachía,"""[λογομαχία] from the same as {{g3054}}; disputation about trifles (""logomachy"")"",g3055,""strife of words 1",NULL,
3056,log'-os,λόγος,lógos,"[λόγος] from {{g3004}}; something said (including the thought); by implication, a topic (subject of discourse), also reasoning (the mental faculty) or motive; by extension, a computation; specially, (with the article in John) the Divine Expression (i.e. Christ)",g3056,"word 218, saying 50, account 8, speech 8, Word (Christ) 7, thing 5, not tr 2, misc 32"
3057,long'-khay,λόγχη,lónchē,"""[λόγχη] perhaps a primary word; a ""lance"""",g3057,""spear 1",NULL,
3058,loy-dor-eh'-o,λοιδορέω,loidoréō,"[λοιδορέω] from {{g3060}}; to reproach, i.e. vilify",g3058,revile 4
3059,loy-dor-ee'-ah,λοιδορία,loidoría,[λοιδορία] from {{g3060}}; slander or vituperation,g3059,"railing 2, to speak reproachfully + \\5484\\ 1"
3060,loy'-dor-os,λοίδορος,loídoros,"[λοίδορος] from λοιδός (mischief); abusive, i.e. a blackguard",g3060,"railer 1, reviler 1"
3061,loy'-mos,λοιμός,loimós,"[λοιμός] of uncertain affinity; a plague (literally, the disease, or figuratively, a pest)",g3061,"pestilence 2, pestilent 1"
3062,loy-poy',λοιποί,loipoí,[λοιποί] masculine plural of a derivative of {{g3007}}; remaining ones,g3062,"other 15, rest 12, others 7, remnant 4, residue 1, which remains 1, other things 1"
3063,loy-pon',λοιπόν,loipón,[λοιπόν] neuter singular of the same as {{g3062}}; something remaining (adverbially),g3063,"finally 5, now 2, then 1, besides 1, moreover + \\1161\\ + \\3739\\ 1, it remains + \\2076\\ 1, furthermore 1, henceforth 1, from henceforth 1"
3064,loy-poo',λοιποῦ,loipoû,[λοιποῦ] genitive case singular of the same as {{g3062}}; remaining time,g3064,from henceforth 1
3065,loo-kas',Λουκᾶς,Loukâs,"[Λουκᾶς] contracted from Latin ; Lucas, a Christian",g3065,"Luke 2, Lucas 2"
3066,loo'-kee-os,Λούκιος,Loúkios,"[Λούκιος] of Latin origin; illuminative; Lucius, a Christian",g3066,Lucius 2
3067,loo-tron',λουτρόν,loutrón,"[λουτρόν] from {{g3068}}; a bath, i.e. (figuratively), baptism",g3067,washing 2
3068,loo'-o,λούω,loúō,"[λούω] a primary verb; to bathe (the whole person; whereas {{g3538}} means to wet a part only, and {{g4150}} to wash, cleanse garments exclusively)",g3068,wash 6
3069,lud'-dah,Λύδδα,Lýdda,"[Λύδδα] of Hebrew origin ({{h3850}}); Lydda (i.e. Lod), a place in Palestine",g3069,Lydda 3
3070,loo-dee'-ah,Λυδία,Lydía,"[Λυδία] properly, feminine of Ludios (of foreign origin) (a Lydian, in Asia Minor); Lydia, a Christian woman",g3070,Lydia 2
3071,loo-kah-on-ee'-ah,Λυκαονία,Lykaonía,"[Λυκαονία] perhaps remotely from {{g3074}}; Lycaonia, a region of Asia Minor",g3071,Lycaonia 1
3072,loo-kah-on-is-tee',Λυκαονιστί,Lykaonistí,"[Λυκαονιστί] adverb from a derivative of {{g3071}}; Lycaonistically, i.e. in the language of the Lycaonians",g3072,speech of Lycaonia 1
3073,loo-kee'-ah,Λυκία,Lykía,"[Λυκία] probably remotely from {{g3074}}; Lycia, a province of Asia Minor",g3073,Lycia 1
3074,loo'-kos,λύκος,lýkos,[λύκος] perhaps akin to the base of {{g3022}} (from the whitish hair); a wolf,g3074,wolf 6
3075,loo-mah'-ee-nom-ahee,λυμαίνομαι,lymaínomai,"[λυμαίνομαι] middle voice from a probably derivative of {{g3089}} (meaning filth); properly, to soil, i.e. (figuratively) insult (maltreat)",g3075,make havoc 1
3076,loo-peh'-o,λυπέω,lypéō,"[λυπέω] from {{g3077}}; to distress; reflexively or passively, to be sad",g3076,"be sorrowful 6, grieve 6, make sorry 6, be sorry 3, sorrow 3, cause grief 1, be in heaviness 1"
3077,loo'-pay,λύπη,lýpē,[λύπη] apparently a primary word; sadness,g3077,"sorrow 11, heaviness 2, grievous 1, grudging + \\1537\\ 1, grief 1"
3078,loo-san-ee'-as,Λυσανίας,Lysanías,"[Λυσανίας] from {{g3080}} and ἀνία (trouble); grief-dispelling; Lysanias, a governor of Abilene",g3078,Lysanias 1
3079,loo-see'-as,Λυσίας,Lysías,"[Λυσίας] of uncertain affinity; Lysias, a Roman",g3079,Lysias 3
3080,loo'-sis,λύσις,lýsis,"[λύσις] from {{g3089}}; a loosening, i.e. (specially), divorce",g3080,to be loosed 1
3081,loo-sit-el-i',λυσιτελεῖ,lysiteleî,"[λυσιτελεῖ] third person singular present indicative active of a derivative of a compound of {{g3080}} and {{g5056}}; impersonally, it answers the purpose, i.e. is advantageous",g3081,it is better 1
3082,loos'-trah,Λύστρα,Lýstra,"[Λύστρα] of uncertain origin; Lystra, a place in Asia Minor",g3082,Lystra 6
3083,loo'-tron,λύτρον,lýtron,"[λύτρον] from {{g3089}}; something to loosen with, i.e. a redemption price (figuratively, atonement)",g3083,ransom 2
3084,loo-tro'-o,λυτρόω,lytróō,[λυτρόω] from {{g3083}}; to ransom (literally or figuratively),g3084,redeem 3
3085,loo'-tro-sis,λύτρωσις,lýtrōsis,[λύτρωσις] from {{g3084}}; a ransoming (figuratively),g3085,"redemption 2, redeem + \\4160\\ 1"
3086,loo-tro-tace',λυτρωτής,lytrōtḗs,[λυτρωτής] from {{g3084}}; a redeemer (figuratively),g3086,deliverer 1
3087,lookh-nee'-ah,λυχνία,lychnía,[λυχνία] from {{g3088}}; a lamp-stand (literally or figuratively),g3087,candlestick 12
3088,lookh'-nos,λύχνος,lýchnos,[λύχνος] from the base of {{g3022}}; a portable lamp or other illuminator (literally or figuratively),g3088,"candle 8, light 6"
3089,loo'-o,λύω,lýō,"""[λύω] a primary verb; to ""loosen"" (literally or figuratively) Compare {{g4486}}."",g3089,""loose 27, break 5, unloose 3, destroy 2, dissolve 2, put off 1, melt 1, break up 1, break down 1",NULL,
3090,lo-ece',Λωΐς,Lōḯs,"[Λωΐς] of uncertain origin; Lois, a Christian woman",g3090,Lois 1
3091,lote,Λώτ,Lṓt,"[Λώτ] of Hebrew origin ({{h3876}}); Lot, a patriarch",g3091,Lot 4
3092,mah-ath',Μαάθ,Maáth,"[Μαάθ] probably of Hebrew origin; Maath, an Israelite",g3092,Maath 1
3093,mag-dal-ah',Μαγδαλά,Magdalá,"[Μαγδαλά] of Chaldee origin (compare {{h4026}}); the tower; Magdala (i.e. Migdala), a place in Palestine",g3093,Magdala 1
3094,mag-dal-ay-nay',Μαγδαληνή,Magdalēnḗ,"[Μαγδαληνή] feminine of a derivative of {{g3093}}; a female Magdalene, i.e. inhabitant of Magdala",g3094,Magdalene 12
3095,mag-i'-ah,μαγεία,mageía,"""[μαγεία] from {{g3096}}; ""magic"""",g3095,""sorcery 1",NULL,
3096,mag-yoo'-o,μαγεύω,mageúō,[μαγεύω] from {{g3097}}; to practice magic,g3096,use sorcery 1
3097,mag'-os,μάγος,mágos,"[μάγος] of foreign origin ({{h7248}}); a Magian, i.e. Oriental scientist; by implication, a magician",g3097,"wise man 4, sorcerer 2"
3098,mag-ogue',Μαγώγ,Magṓg,"[Μαγώγ] of Hebrew origin ({{h4031}}); Magog, a foreign nation, i.e. (figuratively) an Antichristian party",g3098,Magog 1
